,id,name,type,lat,lon,value_start,value_end,value,notes
56,101177,"Ben Lomond, CA",StanfordCity,37.0889,-122.091,1960-01-01,1970-01-01,1814,test
57,101178,"Ben Lomond, CA",StanfordCity,37.0889,-122.091,1970-01-01,1980-01-01,2793,test
58,101179,"Ben Lomond, CA",StanfordCity,37.0889,-122.091,1980-01-01,1990-01-01,7238,test
59,101180,"Ben Lomond, CA",StanfordCity,37.0889,-122.091,1990-01-01,2000-01-01,7884,test
60,101181,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1890-01-01,1900-01-01,489,test
61,101182,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1910-01-01,1920-01-01,544,test
62,101183,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1960-01-01,1970-01-01,1306,test
63,101184,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1950-01-01,1960-01-01,1497,test
64,101185,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1970-01-01,1980-01-01,1806,test
65,101186,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1980-01-01,1990-01-01,5662,test
66,101187,"Boulder Creek, CA",StanfordCity,37.1261,-122.127,1990-01-01,2000-01-01,6725,test
67,101188,"Pescadero, CA",StanfordCity,37.2537,-122.366,1890-01-01,1900-01-01,221,test
68,101189,"Pescadero, CA",StanfordCity,37.2537,-122.366,1880-01-01,1890-01-01,238,test
69,101190,"Portola Valley, CA",StanfordCity,37.3726,-122.221,1980-01-01,1990-01-01,3939,test
70,101191,"Portola Valley, CA",StanfordCity,37.3726,-122.221,1990-01-01,2000-01-01,4194,test
71,101192,"Portola Valley, CA",StanfordCity,37.3726,-122.221,2010-01-01,2020-01-01,4353,test
72,101193,"Portola Valley, CA",StanfordCity,37.3726,-122.221,2000-01-01,2010-01-01,4462,test
73,101194,"Portola Valley, CA",StanfordCity,37.3726,-122.221,1970-01-01,1980-01-01,4996,test
74,101195,"Portola, CA",StanfordCity,37.3824,-122.229,1970-01-01,1980-01-01,1625,test
75,101196,"Portola, CA",StanfordCity,37.3824,-122.229,1960-01-01,1970-01-01,1874,test
76,101197,"Portola, CA",StanfordCity,37.3824,-122.229,1980-01-01,1990-01-01,1885,test
77,101198,"Portola, CA",StanfordCity,37.3824,-122.229,2010-01-01,2020-01-01,2104,test
78,101199,"Portola, CA",StanfordCity,37.3824,-122.229,1990-01-01,2000-01-01,2193,test
79,101200,"Portola, CA",StanfordCity,37.3824,-122.229,2000-01-01,2010-01-01,2227,test
80,101201,"Portola, CA",StanfordCity,37.3824,-122.229,1950-01-01,1960-01-01,2261,test
81,101202,"Woodside, CA",StanfordCity,37.4222,-122.259,1960-01-01,1970-01-01,3592,test
82,101203,"Woodside, CA",StanfordCity,37.4222,-122.259,1970-01-01,1980-01-01,4734,test
83,101204,"Woodside, CA",StanfordCity,37.4222,-122.259,1990-01-01,2000-01-01,5035,test
84,101205,"Woodside, CA",StanfordCity,37.4222,-122.259,2010-01-01,2020-01-01,5287,test
85,101206,"Woodside, CA",StanfordCity,37.4222,-122.259,1980-01-01,1990-01-01,5291,test
86,101207,"Woodside, CA",StanfordCity,37.4222,-122.259,2000-01-01,2010-01-01,5352,test
87,101208,"Emerald Lake Hills, CA",StanfordCity,37.4646,-122.267,1990-01-01,2000-01-01,3328,test
88,101209,"San Carlos, CA",StanfordCity,37.4955,-122.267,1930-01-01,1940-01-01,1132,test
89,101210,"San Carlos, CA",StanfordCity,37.4955,-122.267,1940-01-01,1950-01-01,3520,test
90,101211,"San Carlos, CA",StanfordCity,37.4955,-122.267,1950-01-01,1960-01-01,14371,test
