date,total_sqft_issued_amt,total_new_units_issued_amt,count_permits_issued,count_total_permits_issued
2010-04-12,8165.407534246576,2.3013698630136985,101.70297029702971,10272
2010-04-13,8103.60472972973,2.2837837837837838,102.29411764705883,10434
2010-04-14,8094.503333333333,2.2933333333333334,102.93203883495146,10602
2010-04-15,8066.9703947368425,2.3026315789473686,103.46153846153847,10760
2010-04-16,12613.035714285714,2.2857142857142856,104.05714285714286,10926
2010-04-17,12613.035714285714,2.2857142857142856,103.11320754716981,10930
2010-04-18,12613.035714285714,2.2857142857142856,102.17757009345794,10933
2010-04-19,12465.432692307691,2.269230769230769,102.25925925925925,11044
2010-04-20,12642.148734177215,2.632911392405063,103.19266055045871,11248
2010-04-21,12539.746875,2.6375,103.60909090909091,11397
2010-04-22,12503.638888888889,2.617283950617284,104.25225225225225,11572
2010-04-23,12758.411585365853,2.658536585365854,104.70535714285714,11727
2010-04-24,12758.411585365853,2.658536585365854,103.77876106194691,11727
2010-04-25,12758.411585365853,2.658536585365854,102.87719298245614,11728
2010-04-26,12663.503012048193,2.6626506024096384,103.4,11891
2010-04-27,12713.580357142857,2.642857142857143,104.41379310344827,12112
2010-04-28,12666.808823529413,2.6823529411764704,105.03418803418803,12289
2010-04-29,13610.404069767443,2.7209302325581395,105.47457627118644,12446
2010-04-30,13528.744252873563,2.7011494252873565,105.90756302521008,12603
2010-05-01,13528.744252873563,2.7011494252873565,105.03333333333333,12604
2010-05-02,13528.744252873563,2.7011494252873565,104.18181818181819,12606
2010-05-03,13376.94034090909,2.6704545454545454,104.27049180327869,12721
2010-05-04,13523.210674157302,2.865168539325843,105.1869918699187,12938
2010-05-05,13448.263888888889,2.8777777777777778,105.6774193548387,13104
2010-05-06,13391.118131868132,2.879120879120879,106.24,13280
2010-05-07,13310.192934782608,2.858695652173913,106.52380952380952,13422
2010-05-08,13310.192934782608,2.858695652173913,105.7007874015748,13424
2010-05-09,13310.192934782608,2.858695652173913,104.8984375,13427
2010-05-10,13167.072580645161,2.827956989247312,105.02325581395348,13548
2010-05-11,13176.625,2.851063829787234,105.77692307692308,13751
2010-05-12,13113.544736842105,2.8526315789473684,106.35114503816794,13932
2010-05-13,13027.7265625,2.8541666666666665,106.77272727272727,14094
2010-05-14,13023.381546391753,2.865979381443299,107.00751879699249,14232
2010-05-15,13023.381546391753,2.865979381443299,106.24626865671642,14237
2010-05-16,13023.381546391753,2.865979381443299,105.46666666666667,14238
2010-05-17,12931.755204081634,2.8469387755102042,105.70588235294117,14376
2010-05-18,12862.050606060606,2.8383838383838382,106.32846715328468,14567
2010-05-19,13395.3901,2.81,106.93478260869566,14757
2010-05-20,13321.264455445544,2.801980198019802,107.41007194244604,14930
2010-05-21,13237.516764705882,2.803921568627451,107.96428571428571,15115
2010-05-22,13237.516764705882,2.803921568627451,107.19858156028369,15115
2010-05-23,13237.516764705882,2.803921568627451,106.45774647887323,15117
