date,type,value
2011-04-26,Accessory Dwelling Unit,94.81967213114754
2011-04-27,Accessory Dwelling Unit,94.81967213114754
2011-04-28,Accessory Dwelling Unit,94.81967213114754
2011-04-29,Accessory Dwelling Unit,99.1311475409836
2011-04-30,Accessory Dwelling Unit,99.1311475409836
2011-05-01,Accessory Dwelling Unit,99.1311475409836
2011-05-02,Accessory Dwelling Unit,99.1311475409836
2011-05-03,Accessory Dwelling Unit,99.1311475409836
2011-05-04,Accessory Dwelling Unit,99.1311475409836
2011-05-05,Accessory Dwelling Unit,102.13661202185793
2011-05-06,Accessory Dwelling Unit,100.08743169398907
2011-05-07,Accessory Dwelling Unit,100.08743169398907
2011-05-08,Accessory Dwelling Unit,100.08743169398907
2011-05-09,Accessory Dwelling Unit,100.08743169398907
2011-05-10,Accessory Dwelling Unit,100.08743169398907
2011-05-11,Accessory Dwelling Unit,100.08743169398907
2011-05-12,Accessory Dwelling Unit,98.71584699453553
2011-05-13,Accessory Dwelling Unit,98.71584699453553
2011-05-14,Accessory Dwelling Unit,98.71584699453553
2011-05-15,Accessory Dwelling Unit,96.66666666666667
2011-05-16,Accessory Dwelling Unit,96.66666666666667
2011-05-17,Accessory Dwelling Unit,96.66666666666667
2011-05-18,Accessory Dwelling Unit,96.66666666666667
2011-05-19,Accessory Dwelling Unit,96.66666666666667
2011-05-20,Accessory Dwelling Unit,96.66666666666667
2011-05-21,Accessory Dwelling Unit,96.66666666666667
2011-05-22,Accessory Dwelling Unit,96.66666666666667
2011-05-23,Accessory Dwelling Unit,96.66666666666667
2011-05-24,Accessory Dwelling Unit,96.66666666666667
2011-05-25,Accessory Dwelling Unit,96.66666666666667
2011-05-26,Accessory Dwelling Unit,98.50273224043715
2011-05-27,Accessory Dwelling Unit,98.50273224043715
2011-05-28,Accessory Dwelling Unit,98.50273224043715
2011-05-29,Accessory Dwelling Unit,98.50273224043715
2011-05-30,Accessory Dwelling Unit,98.50273224043715
2011-05-31,Accessory Dwelling Unit,98.50273224043715
2011-06-01,Accessory Dwelling Unit,98.50273224043715
2011-06-02,Accessory Dwelling Unit,98.50273224043715
2011-06-03,Accessory Dwelling Unit,98.50273224043715
2011-06-04,Accessory Dwelling Unit,98.50273224043715
2011-06-05,Accessory Dwelling Unit,96.71584699453553
2011-06-06,Accessory Dwelling Unit,98.82513661202186
2011-06-07,Accessory Dwelling Unit,98.82513661202186
2011-06-08,Accessory Dwelling Unit,101.27049180327869
2011-06-09,Accessory Dwelling Unit,101.27049180327869
2011-06-10,Accessory Dwelling Unit,97.44535519125684
2011-06-11,Accessory Dwelling Unit,97.44535519125684
2011-06-12,Accessory Dwelling Unit,97.44535519125684
2011-06-13,Accessory Dwelling Unit,97.44535519125684
2011-06-14,Accessory Dwelling Unit,99.39344262295081
2011-06-15,Accessory Dwelling Unit,99.39344262295081
2011-06-16,Accessory Dwelling Unit,99.39344262295081
2011-06-17,Accessory Dwelling Unit,93.47540983606558
2011-06-18,Accessory Dwelling Unit,93.47540983606558
2011-06-19,Accessory Dwelling Unit,93.47540983606558
2011-06-20,Accessory Dwelling Unit,93.47540983606558
2011-06-21,Accessory Dwelling Unit,93.47540983606558
2011-06-22,Accessory Dwelling Unit,93.47540983606558
2011-06-23,Accessory Dwelling Unit,93.47540983606558
2011-06-24,Accessory Dwelling Unit,93.47540983606558
2011-06-25,Accessory Dwelling Unit,91.2568306010929
2011-06-26,Accessory Dwelling Unit,91.2568306010929
