date,value
2011-01-02,
2011-01-03,95.8809976944781
2011-01-04,96.1892168725603
2011-01-05,94.2837374205055
2011-01-06,92.37825796845071
2011-01-07,92.25268719219498
2011-01-08,92.12711641593927
2011-01-09,92.00154563968356
2011-01-10,91.87597486342784
2011-01-11,92.59104335657854
2011-01-12,91.64693376753743
2011-01-13,91.68912554835936
2011-01-14,91.6845593383137
2011-01-15,91.62611184972924
2011-01-16,91.56766436114478
2011-01-17,91.50921687256032
2011-01-18,91.62245888169275
2011-01-19,91.83707075383887
2011-01-20,92.1110433565786
2011-01-21,92.24802965794846
2011-01-22,92.37679678123614
2011-01-23,92.50556390452381
2011-01-24,92.63433102781147
2011-01-25,92.78638582233202
2011-01-26,92.92337212370188
2011-01-27,92.92131732918133
2011-01-28,93.19528993192107
2011-01-29,93.03090637027724
2011-01-30,92.86652280863339
2011-01-31,93.11857760315394
2011-02-01,93.29700226068819
2011-02-02,93.49791550269732
2011-02-03,93.59380591365623
2011-02-04,93.55407988625898
2011-02-05,93.51435385886171
2011-02-06,93.47462783146445
2011-02-07,93.4349018040672
2011-02-08,93.37791550269732
2011-02-09,93.35188810543704
2011-02-10,93.92814381319961
2011-02-11,94.40211641593933
2011-02-12,94.87608901867907
2011-02-13,95.35006162141879
2011-02-14,95.37197942963796
2011-02-15,95.2500616214188
2011-02-16,95.1322534022407
2011-02-17,95.0377328542955
2011-02-18,95.1795136762133
2011-02-19,95.32129449813111
2011-02-20,95.46307532004893
2011-02-21,95.60485614196674
2011-02-22,95.6767739501859
2011-02-23,95.53156847073386
2011-02-24,95.71923970361057
2011-02-25,95.94828079950098
2011-02-26,96.23732189539139
2011-02-27,96.5263629912818
2011-02-28,96.81540408717221
2011-03-01,96.92727623329094
2011-03-02,96.56563239767449
2011-03-03,96.51768719219504
2011-03-04,96.52407988625897
2011-03-05,96.51860043420419
2011-03-06,96.51312098214939
2011-03-07,96.45467349356491
2011-03-08,96.20535842507176
2011-03-09,96.25252085168623
2011-03-10,96.3826578379876
2011-03-11,96.3963564681246
2011-03-12,96.26484961880952
2011-03-13,96.13334276949445
2011-03-14,95.88562587451729
2011-03-15,95.7057171987182
2011-03-16,95.77695007543053
2011-03-17,94.90078569186889
2011-03-18,94.02462130830723
2011-03-19,93.9602377466634
2011-03-20,93.89585418501956
2011-03-21,93.93421034940312
2011-03-22,93.69768066903782
2011-03-23,93.40087701606977
2011-03-24,92.5127491621885
2011-03-25,92.54197290648074
2011-03-26,92.57119665077296
2011-03-27,92.6004203950652
2011-03-28,92.59598464816368
2011-03-29,92.50543471764949
2011-03-30,92.41488478713529
2011-03-31,92.6203642391901
2011-04-01,93.35917702457822
2011-04-02,94.1515666745021
2011-04-03,94.94395632442598
2011-04-04,95.17470213873344
2011-04-05,95.22805069276691
2011-04-06,95.6259197947456
2011-04-07,95.89715267145793
2011-04-08,95.77112527419766
2011-04-09,95.47386500022505
2011-04-10,95.17660472625245
2011-04-11,94.8729517582159
2011-04-12,94.65171888150358
2011-04-13,94.92782238226462
2011-04-14,95.03786804436507
2011-04-15,95.05704612655686
2011-04-16,94.89266256491302
2011-04-17,94.72827900326918
2011-04-18,94.56389544162535
2011-04-19,94.74471735943357
2011-04-20,94.93241068687502
2011-04-21,94.84017324395265
2011-04-22,94.96300429418096
2011-04-23,94.30547004760562
2011-04-24,93.64793580103029
2011-04-25,92.97852940833621
2011-04-26,92.74017324395265
2011-04-27,92.46346091518552
2011-04-28,92.60976228504855
2011-04-29,92.42784447682936
2011-04-30,92.24976228504853
2011-05-01,92.07168009326772
2011-05-02,91.8935979014869
2011-05-03,91.65935132614443
2011-05-04,91.77485240761523
2011-05-05,91.1451720423184
2011-05-06,91.08763779574308
2011-05-07,90.99996656286636
2011-05-08,90.91229532998965
2011-05-09,90.82462409711293
2011-05-10,90.56298026149649
2011-05-11,90.51393916560608
2011-05-12,90.77695286423622
2011-05-13,90.03517204231841
2011-05-14,89.85708985053759
2011-05-15,89.67900765875676
2011-05-16,89.50092546697594
2011-05-17,89.64430446240974
2011-05-18,89.56279761309467
2011-05-19,89.4812907637796
2011-05-20,94.81768998100074
2011-05-21,95.17189741739998
2011-05-22,95.5261048537992
2011-05-23,95.27678978530605
2011-05-24,94.99414138347957
2011-05-25,94.65943818713255
2011-05-26,94.51003474038045
2011-05-27,93.69213814294342
2011-05-28,93.41533743591735
2011-05-29,93.13853672889128
2011-05-30,92.86173602186521
2011-05-31,92.53022917255015
2011-06-01,92.69461273419398
2011-06-02,92.74849401273279
2011-06-03,92.61835702643141
2011-06-04,92.7347953825958
2011-06-05,92.85123373876019
2011-06-06,92.99643921821225
2011-06-07,92.70109675245881
2011-06-08,92.0079460675273
2011-06-09,92.04433524912197
2011-06-10,92.17421130913502
2011-06-11,91.61622044155511
2011-06-12,91.05822957397521
2011-06-13,90.50023870639531
2011-06-14,89.97832089817614
2011-06-15,89.93220217671494
2011-06-16,90.04864053287932
2011-06-17,89.88720543829355
2011-06-18,89.72577034370777
2011-06-19,89.56433524912198
2011-06-20,89.24817086556033
2011-06-21,88.92378730391648
2011-06-22,88.89502018062882
2011-06-23,88.98689232674754
2011-06-24,89.15949506647357
2011-06-25,89.3320978061996
2011-06-26,89.50470054592562
2011-06-27,89.61291972400781
2011-06-28,89.24990602537767
2011-06-29,89.02113890209
2011-06-30,86.83757725825438
2011-07-01,86.76634438154205
2011-07-02,86.69511150482973
2011-07-03,86.6238786281174
2011-07-04,86.55264575140507
2011-07-05,86.70333068291193
2011-07-06,86.74579643633658
