date,new_units_backlog_rolling_year
2011-01-02,4.881578947368421
2011-01-03,4.860262008733624
2011-01-04,4.877729257641922
2011-01-05,4.860262008733624
2011-01-06,4.8384279475982535
2011-01-07,4.851528384279476
2011-01-08,4.859649122807017
2011-01-09,4.859649122807017
2011-01-10,4.85589519650655
2011-01-11,4.864628820960698
2011-01-12,4.85589519650655
2011-01-13,4.834782608695652
2011-01-14,4.856521739130435
2011-01-15,4.868995633187773
2011-01-16,4.868995633187773
2011-01-17,4.868995633187773
2011-01-18,4.8478260869565215
2011-01-19,4.852173913043479
2011-01-20,4.860869565217391
2011-01-21,4.956521739130435
2011-01-22,4.96943231441048
2011-01-23,4.96943231441048
2011-01-24,4.965217391304348
2011-01-25,4.952173913043478
2011-01-26,4.960869565217391
2011-01-27,4.960869565217391
2011-01-28,4.952173913043478
2011-01-29,4.965065502183406
2011-01-30,4.965065502183406
2011-01-31,4.952173913043478
2011-02-01,4.978260869565218
2011-02-02,4.973913043478261
2011-02-03,4.965217391304348
2011-02-04,4.956521739130435
2011-02-05,4.978165938864628
2011-02-06,4.978165938864628
2011-02-07,4.978165938864628
2011-02-08,5.004366812227074
2011-02-09,5.004385964912281
2011-02-10,5.0131578947368425
2011-02-11,5.030701754385965
2011-02-12,5.044052863436123
2011-02-13,5.044052863436123
2011-02-14,5.044052863436123
2011-02-15,5.048245614035087
2011-02-16,5.0
2011-02-17,5.0131578947368425
2011-02-18,5.017543859649122
2011-02-19,5.039647577092511
2011-02-20,5.039647577092511
2011-02-21,5.039647577092511
2011-02-22,5.12719298245614
2011-02-23,5.118421052631579
2011-02-24,5.135964912280702
2011-02-25,5.131578947368421
2011-02-26,5.13215859030837
2011-02-27,5.13215859030837
2011-02-28,5.118421052631579
2011-03-01,5.114035087719298
2011-03-02,5.114035087719298
2011-03-03,5.18859649122807
2011-03-04,5.192982456140351
2011-03-05,5.215859030837004
2011-03-06,5.215859030837004
2011-03-07,5.192982456140351
2011-03-08,5.187772925764192
2011-03-09,5.183406113537118
2011-03-10,5.192139737991266
2011-03-11,5.200873362445415
2011-03-12,5.008771929824562
2011-03-13,5.008771929824562
2011-03-14,5.008771929824562
2011-03-15,4.986899563318778
2011-03-16,4.973799126637554
2011-03-17,4.965065502183406
2011-03-18,4.9825327510917035
2011-03-19,5.004385964912281
2011-03-20,5.004385964912281
2011-03-21,5.026200873362446
2011-03-22,5.017391304347826
2011-03-23,5.017391304347826
2011-03-24,5.039130434782609
2011-03-25,5.047826086956522
2011-03-26,5.065502183406114
2011-03-27,5.065502183406114
2011-03-28,5.052173913043478
2011-03-29,5.047826086956522
2011-03-30,5.034782608695652
2011-03-31,5.056521739130435
2011-04-01,5.060869565217391
2011-04-02,5.069868995633188
2011-04-03,5.069868995633188
2011-04-04,5.052173913043478
2011-04-05,5.047826086956522
2011-04-06,5.052173913043478
2011-04-07,5.0476190476190474
2011-04-08,5.021645021645021
2011-04-09,5.043478260869565
2011-04-10,5.043478260869565
2011-04-11,5.043478260869565
2011-04-12,5.230434782608696
2011-04-13,5.230434782608696
2011-04-14,5.234782608695652
2011-04-15,5.234782608695652
2011-04-16,5.248908296943231
2011-04-17,5.248908296943231
2011-04-18,5.230434782608696
2011-04-19,5.220779220779221
2011-04-20,5.207792207792208
2011-04-21,5.212121212121212
2011-04-22,5.190476190476191
2011-04-23,5.2043478260869565
2011-04-24,5.2043478260869565
2011-04-25,5.181818181818182
2011-04-26,5.186147186147186
2011-04-27,5.199134199134199
2011-04-28,5.199134199134199
2011-04-29,5.2770562770562774
2011-04-30,5.2956521739130435
2011-05-01,5.2956521739130435
2011-05-02,5.285714285714286
2011-05-03,5.262931034482759
2011-05-04,5.271551724137931
2011-05-05,5.25
2011-05-06,5.245689655172414
2011-05-07,5.242424242424242
2011-05-08,5.242424242424242
2011-05-09,5.242424242424242
2011-05-10,5.232758620689655
2011-05-11,5.232758620689655
2011-05-12,5.241379310344827
2011-05-13,5.232758620689655
2011-05-14,5.251082251082251
2011-05-15,5.251082251082251
2011-05-16,5.251082251082251
2011-05-17,5.251082251082251
2011-05-18,5.268398268398268
2011-05-19,5.259740259740259
2011-05-20,5.251082251082251
2011-05-21,5.273913043478261
2011-05-22,5.273913043478261
2011-05-23,5.251082251082251
2011-05-24,5.251082251082251
2011-05-25,5.238095238095238
2011-05-26,5.242424242424242
2011-05-27,5.238095238095238
2011-05-28,5.247826086956522
2011-05-29,5.247826086956522
2011-05-30,5.247826086956522
2011-05-31,5.229437229437229
2011-06-01,5.5064935064935066
2011-06-02,5.541125541125541
2011-06-03,5.4935064935064934
2011-06-04,5.491304347826087
2011-06-05,5.467532467532467
2011-06-06,5.448275862068965
2011-06-07,5.437768240343348
2011-06-08,5.4334763948497855
2011-06-09,6.115879828326181
2011-06-10,6.15450643776824
2011-06-11,6.176724137931035
2011-06-12,6.176724137931035
2011-06-13,6.176724137931035
2011-06-14,6.176724137931035
2011-06-15,6.163793103448276
2011-06-16,6.146551724137931
2011-06-17,6.146551724137931
2011-06-18,5.9393939393939394
2011-06-19,5.9393939393939394
2011-06-20,5.952586206896552
2011-06-21,5.927038626609442
2011-06-22,5.92274678111588
2011-06-23,5.918454935622318
2011-06-24,5.918454935622318
2011-06-25,5.935344827586207
2011-06-26,5.935344827586207
2011-06-27,5.927038626609442
2011-06-28,5.991416309012876
2011-06-29,6.201716738197425
2011-06-30,4.55793991416309
2011-07-01,4.583690987124464
2011-07-02,4.603448275862069
2011-07-03,4.603448275862069
2011-07-04,4.603448275862069
2011-07-05,4.583690987124464
