date,value
2011-01-02,
2011-01-03,50.22104307932708
2011-01-04,50.29005808258865
2011-01-05,49.88092566249733
2011-01-06,49.677272694460804
2011-01-07,49.55985586471521
2011-01-08,49.441577978218156
2011-01-09,49.323300091721094
2011-01-10,49.20502220522404
2011-01-11,49.44228247919664
2011-01-12,48.98505264662434
2011-01-13,48.88060059182982
2011-01-14,48.87022877186896
2011-01-15,48.899035034099875
2011-01-16,48.9278412963308
2011-01-17,48.95664755856171
2011-01-18,48.929044818835685
2011-01-19,48.9842959603882
2011-01-20,48.998907832534314
2011-01-21,49.286122444406466
2011-01-22,49.55301742157542
2011-01-23,49.81991239874437
2011-01-24,49.83292609737451
2011-01-25,49.881458387002695
2011-01-26,49.92999067663087
2011-01-27,50.04263255530015
2011-01-28,49.77824899365632
2011-01-29,49.29818811085571
2011-01-30,48.8181272280551
2011-01-31,49.007655386350386
2011-02-01,48.96094958074047
2011-02-02,48.96981563857913
2011-02-03,48.874473172825695
2011-02-04,48.74753253355629
2011-02-05,48.86214440570241
2011-02-06,48.97675627784852
2011-02-07,49.091368149994636
2011-02-08,48.93739554725491
2011-02-09,49.54954166597636
2011-02-10,50.107662996700434
2011-02-11,50.027389024097694
2011-02-12,49.913690393960714
2011-02-13,49.799991763823726
2011-02-14,49.939717791220986
2011-02-15,50.51369039396071
2011-02-16,50.567604288285565
2011-02-17,50.772398808833515
2011-02-18,50.727075912551705
2011-02-19,50.66695849572196
2011-02-20,50.60684107889221
2011-02-21,50.54672366206246
2011-02-22,50.43119854790721
2011-02-23,50.24344429302966
2011-02-24,50.785362101248836
2011-02-25,50.743992238235144
2011-02-26,50.75671239479092
2011-02-27,50.769432551346696
2011-02-28,50.782152707902476
2011-03-01,50.77743429085529
2011-03-02,50.578393194964875
2011-03-03,50.577251642453454
2011-03-04,50.59129273834387
2011-03-05,50.630518238870735
2011-03-06,50.66974373939761
2011-03-07,50.74561307554092
2011-03-08,50.43629800704777
2011-03-09,50.34890074677379
2011-03-10,49.88314732211626
2011-03-11,49.93609252759571
2011-03-12,49.92020211663681
2011-03-13,49.904311705677905
2011-03-14,50.235818554992974
2011-03-15,50.24951718512996
2011-03-16,50.293633799109585
2011-03-17,49.718656630159806
2011-03-18,49.771533342488574
2011-03-19,49.08906758906391
2011-03-20,48.40660183563924
2011-03-21,48.1214876803881
2011-03-22,47.59025480367576
2011-03-23,47.24809346425415
2011-03-24,46.94376594246087
2011-03-25,46.93977377024953
2011-03-26,46.96043913228477
2011-03-27,46.98110449432
2011-03-28,47.43903013032783
2011-03-29,47.6186778798386
2011-03-30,48.43408883874271
2011-03-31,48.69809880138281
2011-04-01,49.198007477181896
2011-04-02,49.48356520712319
2011-04-03,49.76912293706448
2011-04-04,49.69221491358112
2011-04-05,49.74270415037173
2011-04-06,50.04877068657525
2011-04-07,49.708518853172734
2011-04-08,49.63016268878918
2011-04-09,49.14327423477744
2011-04-10,48.65638578076569
2011-04-11,48.32429184730189
2011-04-12,48.232511025384085
2011-04-13,48.32310463269002
2011-04-14,48.2817152002047
2011-04-15,48.327742597464976
2011-04-16,48.06617348164928
2011-04-17,47.80460436583358
2011-04-18,47.54303525001789
2011-04-19,47.60002155138775
2011-04-20,47.51974757878501
2011-04-21,47.78041294082024
2011-04-22,47.71813853334035
2011-04-23,47.36998504459565
2011-04-24,47.02183155585095
2011-04-25,46.7091422984609
2011-04-26,46.4450327094198
2011-04-27,45.99023818887186
2011-04-28,46.06169937608646
2011-04-29,45.86690485553852
2011-04-30,45.9116406676716
2011-05-01,45.95637647980468
2011-05-02,45.87535886728022
2011-05-03,45.97535886728022
2011-05-04,45.49672873029392
2011-05-05,45.29438039369901
2011-05-06,45.943773740078655
2011-05-07,46.753471500461345
2011-05-08,47.563169260844035
2011-05-09,48.372867021226725
2011-05-10,48.41262349002429
2011-05-11,48.30058826497536
2011-05-12,48.458350822052985
2011-05-13,47.97175591011561
2011-05-14,47.99093399230739
2011-05-15,48.010112074499176
2011-05-16,48.029290156690955
2011-05-17,48.125311030794016
2011-05-18,48.27325623627347
2011-05-19,48.157350604614415
2011-05-20,50.71162327258572
2011-05-21,50.69722014147026
2011-05-22,50.6828170103548
2011-05-23,50.39952933912192
2011-05-24,50.116880937295434
2011-05-25,50.093593266062555
2011-05-26,50.18858522435661
2011-05-27,49.644906163691246
2011-05-28,49.139974656841936
2011-05-29,48.63504314999262
2011-05-30,48.13011164314331
2011-05-31,47.60928972533509
2011-06-01,47.1307509125497
2011-06-02,48.58791986232139
2011-06-03,49.51741757921637
2011-06-04,49.446458675106776
2011-06-05,49.37549977099719
2011-06-06,49.39056826414787
2011-06-07,49.16286658987086
2011-06-08,49.07049868380432
2011-06-09,48.906643841218404
2011-06-10,48.74920091884398
2011-06-11,48.32426941199467
2011-06-12,47.899337905145366
2011-06-13,47.474406398296054
2011-06-14,47.528592090837904
2011-06-15,47.76110350636303
2011-06-16,47.8499489075372
2011-06-17,48.62218635045958
2011-06-18,49.60503044700231
2011-06-19,50.587874543545034
2011-06-20,51.14834421086401
2011-06-21,53.99149489579552
2011-06-22,53.96622853354285
2011-06-23,53.91037548248432
2011-06-24,54.056106767941635
2011-06-25,54.247439271054965
2011-06-26,54.43877177416829
2011-06-27,54.62836081526418
2011-06-28,54.20164848649706
2011-06-29,54.33589506183952
2011-06-30,54.42340237948383
2011-07-01,54.36829474738989
2011-07-02,54.20926017465669
2011-07-03,54.05022560192349
2011-07-04,53.89119102919029
2011-07-05,53.797127102249654
2011-07-06,53.70507230772911
